IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:22:9e15:39e3:b12c:a8d5:61b6,4,4,0.00,195.80,30.87
2606:4700:22:9e15:39e3:b1af:87ad:7364,4,4,0.00,195.62,29.91
2606:4700:22:9e15:fb85:7cdc:2bcf:8525,4,4,0.00,194.75,29.54
2606:4700:22:9e15:3943:135b:f74a:ad69,4,4,0.00,195.02,29.53
2606:4700:22:9e15:39e3:fd0:19bd:b5a0,4,4,0.00,196.01,28.86
2606:4700:22:9e15:39e3:b12c:a8d7:7f0a,4,4,0.00,196.06,28.28
2606:4700:22:9e15:39e3:b1f0:d265:ecb6,4,4,0.00,195.23,27.91
2606:4700:22:9e15:39e3:884a:44cf:90e6,4,4,0.00,195.10,27.62
2606:4700:22:9e15:3943:135b:92d5:e78d,4,4,0.00,195.05,26.21
2606:4700:22:9e15:3943:13eb:1c70:bd62,4,4,0.00,195.72,22.50
