IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),国家代码
47.57.233.126,4,4,0.00,59.58,0.00,HK
8.212.12.98,4,4,0.00,61.82,0.00,HK
8.212.65.162,4,4,0.00,62.16,0.00,HK
47.242.218.87,4,4,0.00,62.49,0.00,HK
47.57.245.232,4,4,0.00,63.31,0.00,HK
8.212.14.90,4,4,0.00,63.71,0.00,HK
8.219.245.214,4,4,0.00,91.84,0.00,SG
8.219.236.218,4,4,0.00,91.88,0.00,SG
8.219.97.248,4,4,0.00,93.45,0.00,SG
8.219.254.1,4,4,0.00,94.11,0.00,SG
8.219.255.49,4,4,0.00,94.92,0.00,SG
8.219.63.79,4,4,0.00,96.13,0.00,SG
8.219.228.81,4,4,0.00,96.55,0.00,SG
8.219.243.132,4,4,0.00,97.75,0.00,SG
158.180.75.201,4,4,0.00,99.83,0.00,KR
144.24.95.220,4,4,0.00,105.50,0.00,KR
8.220.134.136,4,4,0.00,108.06,0.00,PH
129.154.194.191,4,4,0.00,113.07,0.00,KR
152.70.253.44,4,4,0.00,124.61,0.00,KR
155.248.248.205,4,4,0.00,144.66,0.00,IN
152.67.190.105,4,4,0.00,144.78,0.00,IN
141.148.203.6,4,4,0.00,153.49,0.00,IN
140.238.4.207,4,4,0.00,154.52,0.00,KR
131.186.27.112,4,4,0.00,156.36,0.00,KR
152.70.240.162,4,4,0.00,164.33,0.00,KR
152.67.125.161,4,4,0.00,179.55,0.00,AU
152.67.99.162,4,4,0.00,180.51,0.00,AU
141.147.185.208,4,4,0.00,182.15,0.00,JP
150.230.204.132,4,4,0.00,182.16,0.00,JP
141.144.198.121,4,4,0.00,182.32,0.00,NL
152.70.104.175,4,4,0.00,183.11,0.00,JP
155.248.170.249,4,4,0.00,183.50,0.00,JP
155.248.182.161,4,4,0.00,184.05,0.00,JP
192.9.180.162,4,4,0.00,184.09,0.00,AU
155.248.169.118,4,4,0.00,184.43,0.00,JP
141.147.160.166,4,4,0.00,185.27,0.00,JP
155.248.178.95,4,4,0.00,186.96,0.00,JP
150.230.63.93,4,4,0.00,188.37,0.00,JP
141.144.195.224,4,4,0.00,189.03,0.00,NL
150.230.194.74,4,4,0.00,190.17,0.00,JP
141.144.201.12,4,4,0.00,196.69,0.00,NL
141.144.197.136,4,4,0.00,198.73,0.00,NL
141.144.196.32,4,4,0.00,206.06,0.00,NL
143.47.189.30,4,4,0.00,207.18,0.00,NL
141.144.198.93,4,4,0.00,212.71,0.00,NL
47.254.86.133,4,4,0.00,213.53,0.00,US
143.47.247.120,4,4,0.00,213.76,0.00,GB
129.153.203.62,4,4,0.00,216.86,0.00,US
152.70.59.138,4,4,0.00,222.23,0.00,NL
193.123.35.178,4,4,0.00,223.46,0.00,NL
8.222.219.140,4,4,0.00,228.96,0.00,SG
129.150.53.218,4,4,0.00,229.56,0.00,SG
141.148.230.89,4,4,0.00,229.59,0.00,NL
8.222.255.80,4,4,0.00,230.38,0.00,SG
8.222.213.251,4,4,0.00,230.99,0.00,SG
8.222.139.227,4,4,0.00,231.00,0.00,SG
132.145.245.100,4,4,0.00,231.57,0.00,DE
144.21.42.2,4,4,0.00,232.17,0.00,NL
47.74.155.26,4,4,0.00,232.18,0.00,SG
8.222.223.112,4,4,0.00,232.64,0.00,SG
8.222.129.215,4,4,0.00,232.73,0.00,SG
143.47.183.52,4,4,0.00,232.76,0.00,NL
8.222.169.19,4,4,0.00,232.90,0.00,SG
138.2.81.71,4,4,0.00,232.98,0.00,SG
8.222.165.104,4,4,0.00,233.09,0.00,SG
150.230.118.203,4,4,0.00,234.69,0.00,GB
141.147.85.167,4,4,0.00,235.30,0.00,GB
141.145.205.115,4,4,0.00,240.21,0.00,FR
141.147.71.187,4,4,0.00,241.48,0.00,GB
130.162.34.176,4,4,0.00,241.71,0.00,DE
129.151.198.3,4,4,0.00,242.44,0.00,SE
130.162.174.117,4,4,0.00,244.06,0.00,GB
141.147.47.32,4,4,0.00,248.02,0.00,DE
144.24.200.164,4,4,0.00,251.58,0.00,FR
130.162.209.188,4,4,0.00,252.75,0.00,DE
144.24.174.149,4,4,0.00,253.76,0.00,DE
150.230.123.106,4,4,0.00,260.46,0.00,GB
144.21.59.145,4,4,0.00,260.75,0.00,GB
193.122.58.158,4,4,0.00,261.58,0.00,DE
47.253.171.149,4,4,0.00,262.82,0.00,US
150.136.87.192,4,4,0.00,263.19,0.00,US
152.67.151.176,4,4,0.00,263.25,0.00,GB
141.147.64.114,4,4,0.00,266.69,0.00,GB
